customer_id,customer_name,gender,member_type
C0001,Nisha Reddy,Female,Member
C0002,Vikram Gupta,Female,Member
C0003,Rohan Patel,Female,Member
C0004,Aarav Iyer,Male,Member
C0005,Kabir Patel,Male,Member
C0006,Kabir Khan,Female,Member
C0007,Ananya Patel,Male,Member
C0008,Rohan Gupta,Female,Member
C0009,Kabir Khan,Male,Member
C0010,Rohan Iyer,Male,Member
C0011,Aarav Sharma,Female,Member
C0012,Meera Reddy,Male,Member
C0013,Isha Iyer,Female,Member
C0014,Meera Khan,Male,Member
C0015,Aarav Patel,Male,Member
C0016,Aarav Iyer,Male,Member
C0017,Diya Das,Female,Member
C0018,Nisha Iyer,Female,Member
C0019,Ananya Das,Male,Member
C0020,Rohan Gupta,Female,Member
C0021,Rohan Singh,Female,Member
C0022,Kabir Sharma,Male,Member
C0023,Nisha Sharma,Male,Member
C0024,Nisha Khan,Male,Member
C0025,Aarav Reddy,Female,Member
C0026,Diya Iyer,Male,Member
C0027,Arjun Khan,Female,Member
C0028,Diya Singh,Female,Member
C0029,Ananya Iyer,Female,Member
C0030,Meera Patel,Female,Member
C0031,Diya Gupta,Male,Member
C0032,Kabir Das,Female,Member
C0033,Arjun Singh,Male,Member
C0034,Vikram Khan,Male,Member
C0035,Vikram Patel,Female,Member
C0036,Vikram Patel,Male,Member
C0037,Vikram Iyer,Male,Member
C0038,Aarav Khan,Male,Member
C0039,Rohan Sharma,Female,Member
C0040,Meera Das,Male,Member
C0041,Vikram Reddy,Male,Member
C0042,Isha Singh,Female,Member
C0043,Kabir Iyer,Female,Member
C0044,Nisha Das,Female,Member
C0045,Diya Singh,Female,Member
C0046,Kabir Iyer,Male,Member
C0047,Ananya Singh,Male,Member
C0048,Ananya Iyer,Male,Member
C0049,Nisha Patel,Male,Member
C0050,Arjun Iyer,Female,Member
C0051,Nisha Gupta,Female,Member
C0052,Meera Iyer,Female,Member
C0053,Arjun Singh,Male,Member
C0054,Meera Iyer,Female,Member
C0055,Kabir Sharma,Male,Member
C0056,Arjun Khan,Female,Member
C0057,Nisha Patel,Female,Member
C0058,Nisha Reddy,Female,Member
C0059,Isha Patel,Male,Member
C0060,Kabir Iyer,Female,Member
C0061,Meera Sharma,Male,Member
C0062,Kabir Iyer,Male,Member
C0063,Diya Singh,Female,Member
C0064,Isha Reddy,Male,Member
C0065,Arjun Gupta,Female,Member
C0066,Arjun Gupta,Male,Member
C0067,Aarav Gupta,Female,Member
C0068,Aarav Das,Female,Member
C0069,Aarav Singh,Female,Member
C0070,Kabir Reddy,Male,Member
C0071,Kabir Iyer,Male,Member
C0072,Isha Iyer,Female,Member
C0073,Meera Reddy,Female,Member
C0074,Vikram Iyer,Female,Member
C0075,Meera Singh,Male,Member
C0076,Isha Singh,Female,Member
C0077,Aarav Singh,Female,Member
C0078,Kabir Reddy,Female,Member
C0079,Meera Khan,Female,Member
C0080,Isha Iyer,Female,Member
C0081,Nisha Patel,Female,Member
C0082,Meera Patel,Female,Member
C0083,Isha Patel,Male,Member
C0084,Isha Reddy,Female,Member
C0085,Diya Das,Female,Member
C0086,Diya Sharma,Female,Member
C0087,Meera Das,Male,Member
C0088,Isha Patel,Female,Member
C0089,Ananya Khan,Male,Member
C0090,Rohan Gupta,Male,Member
C0091,Kabir Reddy,Female,Member
C0092,Isha Das,Male,Member
C0093,Nisha Sharma,Male,Member
C0094,Vikram Sharma,Female,Member
C0095,Ananya Reddy,Female,Member
C0096,Ananya Das,Female,Member
C0097,Meera Reddy,Male,Member
C0098,Arjun Singh,Male,Member
C0099,Ananya Khan,Male,Member
C0100,Isha Khan,Female,Member
C0101,Aarav Reddy,Male,Member
C0102,Rohan Iyer,Female,Member
C0103,Isha Khan,Female,Member
C0104,Isha Iyer,Female,Member
C0105,Vikram Das,Female,Member
C0106,Vikram Reddy,Male,Member
C0107,Ananya Das,Female,Member
C0108,Arjun Sharma,Female,Member
C0109,Aarav Sharma,Female,Member
C0110,Kabir Patel,Male,Member
C0111,Vikram Singh,Male,Member
C0112,Isha Singh,Male,Member
C0113,Vikram Khan,Female,Member
C0114,Diya Reddy,Male,Member
C0115,Diya Patel,Female,Member
C0116,Arjun Khan,Male,Member
C0117,Kabir Das,Male,Member
C0118,Meera Khan,Female,Member
C0119,Isha Khan,Female,Member
C0120,Rohan Das,Male,Member
C0121,Kabir Singh,Female,Member
C0122,Rohan Reddy,Male,Member
C0123,Aarav Gupta,Male,Member
C0124,Arjun Patel,Female,Member
C0125,Meera Gupta,Female,Member
C0126,Ananya Reddy,Female,Member
C0127,Ananya Khan,Male,Member
C0128,Aarav Gupta,Female,Member
C0129,Nisha Khan,Male,Member
C0130,Rohan Gupta,Female,Member
C0131,Vikram Patel,Male,Member
C0132,Diya Patel,Female,Member
C0133,Meera Iyer,Female,Member
C0134,Aarav Singh,Female,Member
C0135,Diya Sharma,Female,Member
C0136,Meera Iyer,Female,Member
C0137,Rohan Reddy,Male,Member
C0138,Nisha Khan,Female,Member
C0139,Ananya Singh,Female,Member
C0140,Kabir Patel,Male,Member
C0141,Kabir Singh,Female,Member
C0142,Rohan Iyer,Male,Member
C0143,Arjun Das,Female,Member
C0144,Nisha Iyer,Male,Member
C0145,Arjun Gupta,Female,Member
C0146,Rohan Gupta,Female,Member
C0147,Rohan Gupta,Female,Member
C0148,Ananya Singh,Female,Member
C0149,Meera Singh,Male,Member
C0150,Arjun Das,Male,Member
C0151,Diya Das,Male,Normal
C0152,Isha Sharma,Female,Normal
C0153,Isha Gupta,Female,Normal
C0154,Aarav Khan,Male,Normal
C0155,Ananya Khan,Male,Normal
C0156,Isha Patel,Male,Normal
C0157,Aarav Iyer,Male,Normal
C0158,Diya Sharma,Female,Normal
C0159,Aarav Iyer,Male,Normal
C0160,Isha Patel,Male,Normal
C0161,Kabir Gupta,Female,Normal
C0162,Isha Sharma,Female,Normal
C0163,Ananya Reddy,Female,Normal
C0164,Arjun Reddy,Male,Normal
C0165,Diya Sharma,Female,Normal
C0166,Arjun Gupta,Male,Normal
C0167,Isha Gupta,Male,Normal
C0168,Ananya Iyer,Male,Normal
C0169,Nisha Reddy,Male,Normal
C0170,Rohan Gupta,Male,Normal
C0171,Diya Singh,Female,Normal
C0172,Vikram Iyer,Male,Normal
C0173,Isha Reddy,Male,Normal
C0174,Vikram Gupta,Male,Normal
C0175,Aarav Gupta,Male,Normal
C0176,Isha Gupta,Male,Normal
C0177,Rohan Patel,Male,Normal
C0178,Ananya Patel,Female,Normal
C0179,Isha Singh,Male,Normal
C0180,Aarav Reddy,Female,Normal
C0181,Isha Sharma,Male,Normal
C0182,Nisha Iyer,Male,Normal
C0183,Meera Das,Female,Normal
C0184,Diya Gupta,Female,Normal
C0185,Nisha Iyer,Female,Normal
C0186,Nisha Iyer,Female,Normal
C0187,Arjun Singh,Male,Normal
C0188,Arjun Reddy,Male,Normal
C0189,Nisha Reddy,Female,Normal
C0190,Kabir Patel,Female,Normal
C0191,Isha Patel,Female,Normal
C0192,Meera Das,Female,Normal
C0193,Isha Iyer,Female,Normal
C0194,Rohan Gupta,Female,Normal
C0195,Aarav Iyer,Male,Normal
C0196,Diya Gupta,Female,Normal
C0197,Aarav Sharma,Male,Normal
C0198,Nisha Khan,Female,Normal
C0199,Diya Singh,Male,Normal
C0200,Rohan Iyer,Male,Normal
C0201,Ananya Reddy,Male,Normal
C0202,Nisha Singh,Female,Normal
C0203,Kabir Khan,Female,Normal
C0204,Arjun Khan,Male,Normal
C0205,Meera Reddy,Female,Normal
C0206,Ananya Reddy,Female,Normal
C0207,Diya Gupta,Male,Normal
C0208,Kabir Patel,Female,Normal
C0209,Ananya Singh,Female,Normal
C0210,Meera Khan,Male,Normal
C0211,Diya Singh,Female,Normal
C0212,Isha Patel,Male,Normal
C0213,Vikram Sharma,Female,Normal
C0214,Aarav Reddy,Male,Normal
C0215,Vikram Das,Female,Normal
C0216,Ananya Reddy,Female,Normal
C0217,Vikram Reddy,Female,Normal
C0218,Aarav Sharma,Female,Normal
C0219,Rohan Patel,Female,Normal
C0220,Diya Iyer,Male,Normal
C0221,Ananya Patel,Male,Normal
C0222,Arjun Gupta,Male,Normal
C0223,Diya Sharma,Male,Normal
C0224,Rohan Khan,Male,Normal
C0225,Nisha Patel,Female,Normal
C0226,Vikram Das,Female,Normal
C0227,Meera Khan,Male,Normal
C0228,Ananya Khan,Male,Normal
